source_id,tier,source_type,evidence_form,title,publisher_or_owner,url,date_or_version,products_or_scope,what_it_proves,key_numbers_or_claims,uncertainty,visual_check_note
O001,O,official,text,"Pinion E-Drive / Motor.Gearbox.Unit official page","Pinion","https://pinion.eu/en/e-drive/","accessed 2026-07-03","Pinion E-Drive MGU","Official source for Pinion integrated motor and gearbox positioning, E1.9/E1.12 variants, gear range and torque class.","Motor.Gearbox.Unit concept; E1.9/E1.12; 9 or 12 gears; 568% or 600% range; 85 Nm class; around 4 kg as published by Pinion.","Official page text available; exact model-level details should be rechecked against current datasheets before design benchmarking.","Product graphics/spec images may contain additional dimensions; second visual pass recommended."
O002,O,official,text,"Avinox Drive Unit official page","DJI / Avinox","https://www.avinox-ebike.com/drive-unit?from=nav&site=avinox-ebike","accessed 2026-07-03","Avinox M1, M2, M2S","Official source for current Avinox production drive-unit line, separate from Avinox MG Concept.","M2S/M2/M1 production drive-unit family; published torque/power claims have model and battery/boost conditions.","Official page does not establish MG Concept production specifications in this first pass.","Product-page images may include key conditions and footnotes; second visual pass recommended."
O003,O,official,text,"Gobao e-bike official site","Gobao","https://gobao-ebike.com/","accessed 2026-07-03","Gobao e-bike systems","Official source anchor for Gobao as an e-bike drive-system supplier and product family owner.","First pass used as official identity/source anchor for Gobao X-series follow-up.","The specific X1/X1P MGU detail page was not fully extracted in first pass.","Needs page-level visual/text inspection for X-series tables and launch details."
S001,B,media,text,"Avinox and Gobao unveil automatic e-bike transmissions","The Verge","https://www.theverge.com/news/959382/avinox-mg-concept-gobao-mgu-ecvt","2026-06-26","Avinox MG Concept, Gobao X-series MGU","High-confidence media evidence that Avinox MG Concept and Gobao X-series represent 2026 eCVT MGU direction shown around Eurobike.","Article reports Avinox MG Concept and Gobao MGU/eCVT direction; reports 2027 timing for Avinox MG Concept and Gobao X1/X1P context.","Media source, not official specifications; use as market signal and concept/pre-production evidence only.","Article images may show system layout; visual pass useful but not sufficient for specs."
O004,O,official,text,"Bosch eShift official page","Bosch eBike Systems","https://www.bosch-ebike.com/en/products/eshift","accessed 2026-07-03","Bosch eShift integrations","Official source for Bosch electronic shifting integrations and partner logic.","eShift supports electronic gear-shifting integrations such as automatic/electronic shift workflows depending on partner components.","Not an integrated motor gearbox; classify as L2 quasi-direct integration.","May include compatibility matrices needing second pass."
O005,O,official,text,"Bosch Performance Line CX official page","Bosch eBike Systems","https://www.bosch-ebike.com/en/products/performance-line-cx","accessed 2026-07-03","Bosch Performance Line CX","Official benchmark source for high-performance mid-drive torque/power class.","Performance Line CX is a key L3 benchmark; published peak/upgrade values must be separated from default settings and regional limits.","Official page values may vary by MY, firmware, region and settings; recheck footnotes.","Spec footnotes and compatibility notes may be image or accordion content."
O006,O,official,text,"Shimano AUTO SHIFT technology page","Shimano","https://bike.shimano.com/en-NA/technologies/details/auto-shift.html","accessed 2026-07-03","Shimano AUTO SHIFT / FREE SHIFT with Di2 and EP platforms","Official source for Shimano automatic shifting behavior and e-bike drivetrain integration.","AUTO SHIFT and FREE SHIFT are electronic-shift experiences around Shimano e-bike/Di2 systems, not motor-internal gearboxes.","Model compatibility and exact functions depend on component generation; recheck current compatibility matrix.","Technology pages often contain diagrams and compatibility graphics."
O007,O,official,text,"Shimano DU-EP801 product page","Shimano","https://bike.shimano.com/en-EU/product/component/ep8-ep800/DU-EP801.html","accessed 2026-07-03","Shimano EP801 drive unit","Official source anchor for EP801 high-performance mid-drive benchmark and Di2 integration context.","EP801 is an L3 motor benchmark and L2 integration host when paired with Di2 automatic shifting.","Exact torque/weight values require current regional product sheet confirmation.","Spec tables may be page-rendered and should be visually checked."
O008,O,official,url-collected,"SRAM Eagle Powertrain official page","SRAM","https://www.sram.com/en/sram/mountain/series/eagle-powertrain","collected 2026-07-03","SRAM Eagle Powertrain","Official source target for SRAM/Brose-based motor and AXS Transmission integration.","Known as a motor-control and electronic-shift ecosystem candidate; exact current specs need source extraction.","URL collected but not fully extracted in first pass; do not use for final numerical claims yet.","Needs text/visual pass for Auto Shift, Coast Shift, motor source and OEM list."
O009,O,official,url-collected,"Enviolo AUTOMATiQ official page","enviolo","https://enviolo.com/products/automatiq/","collected 2026-07-03","Enviolo AUTOMATiQ","Official source target for automatic stepless hub transmission ecosystem.","Candidate for L2/L4 automatic shifting experience and CVT-like user value.","URL collected but not fully extracted in first pass; do not use for final numerical claims yet.","Needs visual/spec pass for hub type, torque ratings and e-bike compatibility."
