"segment","solution","solved_pains","unsolved_pains","oem_benefit","ecvt_mgu_can_beat_if","evidence_ids"
"高端 SUV / trekking","e-CVT MGU","目标踏频、连续变比、低维护外露传动、后轮简化、built-in speed sensor、connected/security 可统一。","效率、热、寿命、价格和售后仍未被量产验证。","形成高级整车差异化，而不是只卖电机参数。","证明比 hub CVT 更利于后轮维护和高扭矩效率，比有级 MGU 更自然，并把内置速度传感、低噪声和低维护转化为整车高级体验。","V004;V032;F026;F027;F044;F046;F047;F048"
"高端 SUV / trekking","电子外变 + 中置电机","自动/半自动换挡、运动生态成熟、重量较优。","后拨、飞轮和链条仍外露，低维护故事弱。","复用现有生态，开发风险低。","低维护和封闭传动成为核心购买理由。","V005;V007;V008;F013;F016;F018;F042"
"高端 SUV / trekking","花鼓 CVT/内变 + 中置电机","低维护、自动踏频、停启友好、城市/trekking 成熟度较高。","后轮质量和后轮维修复杂度仍在，系统诊断分散。","成熟供应链，适合舒适型整车。","中央质量、后轮简化和高载高扭矩体验更好且成本可控。","V009;V010;V011;V012;F020;F021;F022;F023;F041"
"高端 SUV / trekking","有级 gearbox MGU","封闭、宽范围、低维护、已量产装车。","有级换挡不等于无级踏频控制，重量和噪声仍需关注。","可作为成熟高端路线快速讲清价值。","无级/目标踏频体验明显更顺、更少心智负担，且效率/噪声不输。","V001;V020;V022;V025;F001;F004"
"高端 SUV / trekking","普通中置电机 + 机械传动","成熟、轻、便宜、供应链广。","无法系统性解决传动维护和误换挡。","低风险、成本可控。","用户愿为低维护自动体验支付高溢价。","V002;V006;F005;F015"
"Cargo / family utility","e-CVT MGU","满载起步、频繁停启、目标踏频、低维护、整车诊断、静止/负载换挡、倒车助力和机械锁止潜力。","高载热、耐久和故障降级风险最高。","做出像自动挡车一样的家庭/货运体验。","台架和实车证明高载低速效率、寿命、倒车/锁止体验和维修成本优于 hub CVT/内变。","V004;V032;F026;F027;F029;F045;F047;F048"
"Cargo / family utility","电子外变 + 中置电机","可自动换挡、成本和重量可能较好。","外露传动在高载停启下仍是维护风险。","复用成熟 MTB/trekking 生态。","外露传动维护成为 OEM 售后痛点。","V005;V007;V008;F013;F016;F018"
"Cargo / family utility","花鼓 CVT/内变 + 中置电机","载重、停启、自动踏频和低维护已经强。","后轮复杂、轮组维修和中心质量不如 MGU。","货运/家庭车已有可解释方案。","e-CVT MGU 在后轮维护、诊断和高载起步体验形成量化优势。","V009;V010;V011;V012;F020;F021;F022;F023;F041"
"Cargo / family utility","有级 gearbox MGU","封闭、低维护、宽范围，适合高端 cargo/SUV。","无级踏频体验和低技能用户友好性可能不如 e-CVT。","高端可靠路线，故事清晰。","e-CVT 在满载停启中更平顺、更不需要档位心智。","V001;V020;V025;F001;F004"
"Cargo / family utility","普通中置电机 + 机械传动","成本较低、维修点熟悉。","重载误换挡和外露传动磨损无法根除。","适合价格敏感车型。","TCO 和家庭用户易用性成为核心卖点。","V006;F015"
"Premium urban commuter","e-CVT MGU","用户不用操心换挡、目标踏频、connected/security、低维护形象。","城市场景已有成熟替代，成本压力大。","做 premium connected city bike。","必须证明相对 Owuru Gen 1 城市方案、enviolo/hub CVT 和普通内变，在防盗、诊断、后轮维护或高级感上有清晰增量。","V004;V031;V033;V034;V035;V036;F026;F027;F039;F040;F049;F050;F052;F053;F054"
"Premium urban commuter","电子外变 + 中置电机","自动换挡可用，成本/重量可能更好。","对低维护和无心智负担的改善有限。","中高端通勤可快速量产。","外露件维护和误用仍造成差评。","V005;V007;F013;F016;F042"
"Premium urban commuter","花鼓 CVT/内变 + 中置电机","非常强：自动踏频、封闭、低维护、城市停启适配。","后轮复杂和系统分散，但多数用户不敏感。","最容易解释也较成熟。","e-CVT MGU 的整车安全、诊断、后轮维护和高级感能覆盖成本差。","V009;V031;F020;F039;F041"
