example_id,source_id,brand,bike_model,segment,drive_or_transmission,battery_or_system_notes,positioning_or_relevance,evidence_strength,follow_up
OEM001,V020,Simplon,"KAGU :ePinion High","SUV / trekking / family utility","Pinion E1.12 MGU + Gates Carbon Drive","960 Wh battery; FIT system; 150 kg max system weight","Strongest current official example for premium low-maintenance SUV/trekking MGU positioning.","official_product_page","Extract price, geometry, target markets and dealer/service notes."
OEM002,V021,Simplon,"Rapcon :ePinion","eMTB","Pinion MGU E1.12 + Gates Carbon Drive","960 Wh battery; FIT system; Bosch ABS Pro; Fox suspension","Official example that MGU can enter premium eMTB, but likely high-risk/flagship category.","official_product_page","Extract price, weight, reviews and rider feedback."
OEM003,V018,Bulls,"Vuca EVO AM","eMTB","Pinion E-Drive / MGU family","not extracted","Official Pinion e-MTB selection example.","official_selection_page","Open Bulls product page for exact model specs, price and market positioning."
OEM004,V018,Bulls,"Vuca EVO FSX","eMTB","Pinion E-Drive / MGU family","not extracted","Official Pinion e-MTB selection example.","official_selection_page","Open Bulls product page."
OEM005,V018,Rotwild,"R.X1000","eMTB","Pinion E-Drive / MGU family","not extracted","Official Pinion e-MTB selection example.","official_selection_page","Open Rotwild product page and reviews."
OEM006,V018,Nicolai,"Saturn 14 Swift","eMTB","Pinion E-Drive / MGU family","not extracted","Official Pinion e-MTB selection example.","official_selection_page","Open Nicolai product page."
OEM007,V018,"Tout Terrain","Pamir","eMTB / adventure","Pinion E-Drive / MGU family","not extracted","Official Pinion e-MTB selection example.","official_selection_page","Clarify exact segment and specs."
OEM008,V019,Flyer,"Upstreet TR:CF","SUV / trekking / urban","Pinion E-Drive / MGU family","not extracted","Official Pinion e-trekking selection example and WELT media lead.","official_selection_page_plus_media_lead","Open Flyer product page; verify specs and price."
OEM009,V019,Kettler,"Pinniato","trekking / urban","Pinion E-Drive / MGU family","not extracted","Official Pinion e-trekking selection example.","official_selection_page","Open Kettler product page."
OEM010,V019,Kettler,"Quadriga","trekking / urban","Pinion E-Drive / MGU family","not extracted","Official Pinion e-trekking selection example.","official_selection_page","Open Kettler product page."
OEM011,V019,Rotwild,"R.C1000","trekking / SUV","Pinion E-Drive / MGU family","not extracted","Official Pinion e-trekking selection example.","official_selection_page","Open Rotwild product page."
OEM012,V019,"VSF Fahrradmanufaktur","T-X1000","trekking / touring","Pinion E-Drive / MGU family","not extracted","Official Pinion e-trekking selection example.","official_selection_page","Open VSF product page."
