finding_id,source_id,product_or_route,finding_type,finding,conditions_or_scope,confidence
F001,V001,"Pinion MGU E1.9/E1.12","architecture","Motor and gearbox are integrated into one unit with electronic shifting.","Pinion E-Drive MGU official page","high"
F002,V001,"Pinion MGU E1.9","spec","9 gears, 568% ratio range, about 4000 g, 174 mm Q-factor, 600/800 W peak power, 85 Nm competitive torque.","Official hard facts table","high"
F003,V001,"Pinion MGU E1.12","spec","12 gears, 600% ratio range, about 4100 g, 174 mm Q-factor, 600/800 W peak power, 85 Nm competitive torque.","Official hard facts table","high"
F004,V001,"Pinion MGU","service","Closed/sealed housing and 10,000 km oil-change maintenance interval are claimed.","Official page; marketing/service claim","medium"
F005,V002,"Avinox M2S/M2/M1","boundary","Avinox official production drive units are M2S, M2 and M1; this source does not verify MG Concept specs.","Official drive-unit page","high"
F006,V002,"Avinox M2S","spec","About 2.59 kg; 130 Nm normal max torque; 150 Nm Boost; 250 W rated power; peak power 1500 W only under listed battery/mode conditions.","Official specs and footnote","high"
F007,V002,"Avinox M2/M1","spec","M2: about 2.65 kg, 110 Nm normal, 125 Nm Boost, 1100 W peak. M1: about 2.52 kg, 105 Nm normal, 120 Nm Boost, 1000 W peak.","Official spec table","high"
F008,V003,"Avinox MG Concept","market_signal","Media reports MG Concept combines motor with automatic gearing in a compact housing and targets 2027 launch.","The Verge, Eurobike 2026 context","medium"
F009,V003,"Gobao X-series","market_signal","Media reports Gobao X1/X1P eCVT MGUs, X1 at 120 Nm/1200 W and X1P at 150 Nm/1500 W, with February 2027 mass-production timing attributed to BikeBiz.","Media source, not primary BikeBiz check","medium"
F010,V004,"Gobao X-system","architecture","Official page states motor and transmission are combined into a single unit with automatic continuously variable transmission and optional manual control.","Official X-system page","high"
F011,V004,"Gobao Urban & Trekking","spec","120 Nm, 3.85 kg, 25/45 km/h, 1200 W, 400% max gear range, >120 rpm cadence, Mg housing.","Official page model block","high"
F012,V004,"Gobao MTB & Cargo","spec","150 Nm, 3.85 kg, 25/45 km/h, 1500 W, 500% max gear range, >120 rpm cadence, Mg housing.","Official page model block","high"
F013,V005,"Bosch eShift","architecture","eShift is an electric shifting ecosystem with manual and automatic variants, not a motor-internal gearbox.","Official Bosch page","high"
F014,V005,"Bosch eShift partners","compatibility","Bosch lists 3X3 Electric, Classified Powershift, enviolo AUTOMATiQ, Rohloff E-14, Shimano Di2 families, TRP E.A.S.I. and Gearsensor GS in its eShift partner table.","Official Bosch partner table","high"
F015,V006,"Bosch Performance Line CX BDU384Y","spec","Maximum possible 120 Nm, 750 W, 600% support, about 2.8 kg; supplied standard values remain 85 Nm and 600 W per footnotes.","Official technical data and footnotes","high"
F016,V007,"Shimano AUTO SHIFT","control","AUTO SHIFT uses cadence, torque and speed sensor data, keeps rider in suitable gear and allows manual override.","Official Shimano technology page","high"
F017,V007,"Shimano AUTO SHIFT compatibility","compatibility","Pedaling AUTO SHIFT requires Di2 and 10/11-speed LINKGLIDE; coasting AUTO SHIFT works with 12-speed HYPERGLIDE+ or 10/11-speed LINKGLIDE.","Official compatibility text","high"
F018,V008,"SRAM Eagle Powertrain","architecture","Eagle Powertrain integrates e-MTB drive system with Eagle Transmission, Auto Shift, Coast Shift, AXS Bridge Display, AXS Pod and AXS app.","Official SRAM page","high"
F019,V008,"SRAM Eagle Powertrain OEMs","market_signal","Official page lists Nukeproof, Transition, Propain, Berria and GasGas as Eagle Powertrain bike-brand links.","Official page brand section","high"
F020,V009,"Enviolo Automatic","user_value","Automatic system lets riders set a preferred pace and shifts automatically; page emphasizes enclosed low-upkeep transmission and belt compatibility.","Official Enviolo products page","high"
F021,V009,"Enviolo hubs","spec","Utility hub is listed at 400% range, 300 kg max gross vehicle weight and 120 Nm max torque at 300 kg; Trekking v4 at 380% and 100 Nm at 180 kg.","Official hub section","high"
F022,V010,"Rohloff E-14","control","E-14 synchronizes drive-unit torque reduction and electronic hub shifting; supports single/multi-shift, auto-downshift/start gear and app service functions.","Official Rohloff E-14 page","high"
F023,V011,"Rohloff SPEEDHUB","spec","SPEEDHUB benchmark specs include 14 gears, 13.6% increments, 526% range and 130 Nm max input torque/hub.","Official Rohloff specifications page, status 03/2021","high"
F024,V012,"3X3 gear hub system","architecture","3X3 claims maintenance-free gear hubs that shift while stopped or under load, with chain/belt and with/without e-drive; system includes NINE/SIX and Electric Shift controls.","Official 3X3 system page","high"
F025,V014,"Pinion P-line gearbox","spec","P1.18: 18 gears, 636% range, 2700 g. P1.12: 12 gears, 600% range, 2350 g. P-line specs include 250 Nm max torque and 10,000 km service interval.","Official Pinion P-line page","high"
