candidate_id,verified_layer,brand,product_or_system,status_after_second_pass,is_direct_mgu,is_quasi_direct,is_benchmark_or_substitute,verified_source_ids,verified_key_points,remaining_gaps
P001,L1 direct MGU,"DJI / Avinox","Avinox MG Concept","media_verified_official_gap",yes,no,no,"V003","Media reports Avinox MG Concept as integrated motor+automatic gearing/eCVT MGU targeting 2027; prototype partners reported as Canyon, Commencal, Forbidden and Mondraker.","No official Avinox MG Concept spec found in this pass; do not use Avinox M2S specs as proxy."
P002,L1 direct MGU,"Gobao","X-system Urban & Trekking / likely X1 family","official_verified",yes,no,no,"V004;V003","Official page verifies motor+transmission in one unit with automatic continuously variable transmission; Urban & Trekking block lists 120 Nm, 1200 W, 3.85 kg, 400% range.","Need direct mapping to X1 naming and independent production/OEM timing."
P003,L1 direct MGU,"Gobao","X-system MTB & Cargo / likely X1P family","official_verified",yes,no,no,"V004;V003","Official page verifies higher model block at 150 Nm, 1500 W, 3.85 kg, 500% range.","Need direct mapping to X1P naming and production/OEM timing."
P004,L1 direct MGU,"Pinion","E-Drive MGU E1.9","official_verified",yes,no,no,"V001","9-speed integrated motor+gearbox; 568% range; about 4000 g; 85 Nm competitive torque; 600/800 W peak power; 174 mm Q-factor.","Need OEM-bike pricing, user reliability, noise and service evidence."
P005,L1 direct MGU,"Pinion","E-Drive MGU E1.12","official_verified",yes,no,no,"V001","12-speed integrated motor+gearbox; 600% range; about 4100 g; 85 Nm competitive torque; 600/800 W peak power; 174 mm Q-factor.","Need OEM-bike pricing, user reliability, noise and service evidence."
P006,L1 direct MGU,"Valeo","Cyclee / Smart e-Bike System","backlog_only",yes,no,no,"","Kept as important historical candidate because plan identified motor+automatic gearbox relevance.","No official content verified; must not appear as factual current competitor until B003 is resolved."
P007,L1 direct MGU,"Revonte","Revonte ONE","backlog_only",yes,no,no,"","Kept as historical integrated-drive/CVT candidate.","No official/archive content verified; classify as unverified historical lead."
P008,L1/L2 boundary,"Owuru / E2Drives","OWURU Propulsive Module / LD 920 E / high-power Owuru route","official_verified_city_product_high_power_media",yes,no,no,"V033;V034;V035;V036;V037;V039","Official E2Drives/OWURU/Decathlon pages verify the city-bike technology chain, all-in-one automatic transmission module and Decathlon LD 920 E OEM fit; E-MOUNTAINBIKE adds high-power eMTB/cargo media-route evidence.","High-power eMTB/cargo datasheet, non-Decathlon OEM status, efficiency map, heat, lifespan, diagnostics and service strategy remain unverified."
P020,L2 quasi-direct,"Bosch","eShift","official_verified",no,yes,no,"V005","Manual/automatic e-shift ecosystem with many partners; solves automatic/electronic shifting without motor-internal gearbox.","Need partner-by-partner OEM adoption and ride reviews."
P021,L2 quasi-direct,"Shimano","AUTO SHIFT / Di2 with EP platforms","official_verified",no,yes,no,"V007","Sensor-based automatic shifting with manual override; compatibility tied to Di2 and LINKGLIDE/HYPERGLIDE+ configurations.","Need exact EP801/EP6 product compatibility and current DU specs."
P022,L2 quasi-direct,"SRAM","Eagle Powertrain","official_verified",no,yes,no,"V008","Integrated e-MTB ecosystem with Eagle Transmission, Auto Shift, Coast Shift, AXS controls/app and listed OEM bike brands.","Need official motor torque/weight and supplier boundary."
P023,L2 quasi-direct,"enviolo","AUTOMATiQ / Automatic","official_verified",no,yes,no,"V009;V005","Automatic stepless hub transmission with preferred-pace/cadence value; Bosch eShift also lists enviolo AUTOMATiQ as automatic partner.","Need support spec-guide confirmation for model weights and e-bike limits."
P024,L2 quasi-direct,"Rohloff","E-14 + SPEEDHUB","official_verified",no,yes,no,"V010;V011;V005","Electronic hub shifting synchronized with mid-drive systems; 14-speed SPEEDHUB has 526% range and 130 Nm input torque benchmark.","Need current Bosch automatic-function firmware compatibility and OEM list."
P025,L2/L4 boundary,"3X3","NINE/SIX + Electric Shift","official_verified",no,yes,yes,"V012;V005","Maintenance-free gear hub ecosystem; shifts stopped/under load; Bosch eShift lists 3X3 Electric as a manual partner.","Need torque/range specs from downloads or OEM portal."
P040,L3 benchmark,"DJI / Avinox","M2S/M2/M1","official_verified",no,no,yes,"V002","High-output production mid-drive family; M2S 130/150 Nm, 2.59 kg and conditional 1500 W are verified.","Benchmark only; not an MGU."
P043,L3 benchmark,"Bosch","Performance Line CX BDU384Y","official_verified",no,no,yes,"V006","Official page verifies 2.8 kg, 250 W rated, max possible 120 Nm/750 W/600% with standard 85 Nm/600 W caveat.","Benchmark only; not MGU."
P060,L4 substitute,"Pinion","P-line/C-line gearboxes","official_verified",no,no,yes,"V013;V014","Sealed gearbox ecosystem; P-line specs include 18/12 gears, 636/600% range, 250 Nm max torque and 10,000 km service interval.","Non-motor gearbox; frame interface and licensing/OEM implications need follow-up."
P061,L4 substitute,"Rohloff","SPEEDHUB 500/14","official_verified",no,no,yes,"V011","14 gears, 526% range, about 1700-1825 g, 130 Nm max input torque/hub.","Hub substitute route, not MGU."
P062,L4 substitute,"enviolo","CVP hubs / Utility / Trekking","official_verified",no,no,yes,"V009","Stepless hubs and gearbox route; Utility supports 400% range and high gross vehicle weight claims.","Hub/gearbox route, not motor-internal."
P063,L4 substitute,"Gates","Carbon Drive","backlog_only",no,no,yes,"","Potential enabling ecosystem for sealed MGU/gearbox value proposition.","No official design/spec page verified in this pass."
