backlog_id,priority,source_target,owner_or_brand,url,status,why_backlogged,next_action
B001,high,"Avinox MG Concept final official datasheet / mechanism closure","DJI / Avinox","https://www.avinox-ebike.com/","quasi_production_booth_evidence_found_final_datasheet_open","V032 Tech Details booth images provide Avinox production-direction and quasi-production product-definition targets, while the current Avinox drive-unit page verifies M1/M2/M2S but not final MG Concept datasheet or mechanism.","Search Avinox news/exhibition pages, official press kits, patent filings and OEM prototype pages; verify test basis for Tech Details values."
B002,high,"BikeBiz Gobao X1/X1P report","BikeBiz","https://bikebiz.com/","not_opened_in_second_pass","The Verge attributes Gobao February 2027 mass-production timing to BikeBiz; primary media source still needs direct check.","Find and open the exact BikeBiz article; record date, wording and whether claims quote Gobao."
B003,high,"Valeo Cyclee / Smart e-Bike System official material","Valeo Cyclee / Valeo","https://cyclee.valeo.com/","official_url_not_opened","Cyclee remains a key historical motor+automatic gearbox candidate, but official page content was not retrieved.","Find active/archived Valeo press release, Cyclee product page, OEM bikes and current commercial status."
B004,high,"Revonte ONE official/archive material","Revonte","https://www.revonte.com/","official_url_not_opened","Revonte ONE is a historical integrated-drive/CVT candidate, but current official content was not retrieved.","Check archive, company registry/news, production-bike evidence and patents; likely classify as historical if inactive."
B005,high,"Owuru architecture and official product pages","Owuru","https://www.owuru.com/","official_url_not_opened","Owuru may be automatic/stepless transmission but physical boundary is not verified.","Find official technical pages and OEM integrations; determine hub, bottom-bracket, motor-integrated or external transmission."
B006,medium,"Effigear current gearbox products","Effigear","https://www.effigear.com/","not_checked_second_pass","Relevant for gearbox architecture and Valeo background.","Extract ratios, weight, e-bike compatibility, service and OEM examples."
B007,medium,"Classified Powershift e-bike applicability","Classified Cycling","https://classified-cycling.cc/","not_checked_second_pass","Bosch eShift lists Classified Powershift, but torque/e-bike relevance needs direct confirmation.","Open Classified technical pages and Bosch partner details; determine whether to keep as L2 or L4."
B008,medium,"Gates Carbon Drive design constraints","Gates","https://www.gatescarbondrive.com/","not_checked_second_pass","Belt drive is an enabling ecosystem for MGU/gearbox, but design limits need source extraction.","Open official design guide/specs for chainline, tension, sprocket, frame split and torque constraints."
B009,medium,"Bafang current M-series and automatic-adjacent products","Bafang","https://bafang-e.com/","not_checked_second_pass","China/global supplier benchmark not yet verified model-by-model.","Extract M510/M560/M620/M820 and any automatic/e-shift offerings."
B010,medium,"Yamaha PW current lineup","Yamaha Motor","https://global.yamaha-motor.com/business/e-bike-systems/","not_checked_second_pass","Long-running OEM motor benchmark still needs current official specs.","Extract PW-X3/PW-XM/current lineup values and OEM strategy."
B011,medium,"Brose Drive current lineup","Brose","https://www.brose-ebike.com/","not_checked_second_pass","Important supplier/private-label benchmark.","Extract Drive S Mag/current models and relationship to SRAM/Specialized where verifiable."
B012,medium,"TQ HPR current lineup","TQ","https://www.tq-ebike.com/en/","not_checked_second_pass","Compact/light benchmark not yet verified.","Extract HPR50/HPR60 specs and OEM placements."
B013,medium,"FAZUA Ride 60 current lineup","FAZUA","https://fazua.com/","not_checked_second_pass","Lightweight benchmark not yet verified.","Extract current Ride 60 specs and Porsche/FAZUA positioning."
B014,medium,"Specialized Turbo current motors","Specialized","https://www.specialized.com/","not_checked_second_pass","OEM-owned ecosystem benchmark not yet verified.","Separate Full Power, SL and supplier/generation claims using official bike pages."
B015,medium,"Shimano EP801 product/spec page","Shimano","https://bike.shimano.com/","partially_checked","AUTO SHIFT official page was verified, but DU-EP801 product data was not directly extracted.","Open exact product-info/manual page and record torque, weight and compatibility."
