source_id,tier,source_type,evidence_form,title,publisher_or_owner,url,checked_date,verified_scope,key_verified_facts,limits_or_caveats
V001,O,official,text,"Pinion E-Drive Motor.Gearbox.Unit official page","Pinion","https://pinion.eu/en/e-drive/","2026-07-04","Pinion E-Drive MGU E1.9/E1.12","Official page states motor and gearbox are one unit; MGU has up to 12 gears and 600% ratio; hard facts table lists E1.9 as 9 gears, 568% range, about 4000 g, 174 mm Q-factor, 600/800 W peak power, 85 Nm competitive torque; E1.12 as 12 gears, 600% range, about 4100 g, same Q-factor and power/torque class; page also claims 10,000 km maintenance interval, shifting under load and Auto.Shift functions.","Official marketing/spec page, not independent testing. Rear-wheel torque claim and motor torque claim must not be mixed."
V002,O,official,text,"Avinox Drive Unit official page","DJI / Avinox","https://www.avinox-ebike.com/drive-unit?from=nav&site=avinox-ebike","2026-07-04","Avinox M2S/M2/M1 production drive units","Official page lists production M2S, M2, M1 drive units. M2S: about 2.59 kg, 130 Nm normal max torque, 150 Nm Boost, 250 W rated power, 1500 W peak power only under stated battery/mode conditions. M2: about 2.65 kg, 110 Nm normal, 125 Nm Boost, 1100 W peak. M1: about 2.52 kg, 105 Nm normal, 120 Nm Boost, 1000 W peak. All list IP66, ISIS crank mount and 800% max assist ratio.","This page does not verify Avinox MG Concept specifications. It is only a benchmark for Avinox's current production drive-unit family."
V003,B,media,text,"This motor could be the future of e-bikes","The Verge","https://www.theverge.com/news/959382/avinox-mg-concept-gobao-mgu-ecvt","2026-07-04","Avinox MG Concept and Gobao X-series MGU market signal","Article reports Avinox MG Concept and Gobao X-series as motor gearbox units with integrated eCVT shown around Eurobike 2026; describes cadence-setting automatic behavior and virtual gears; reports Avinox prototype partners Canyon, Commencal, Forbidden and Mondraker; reports Gobao X1 120 Nm/1200 W and X1P 150 Nm/1500 W with February 2027 mass-production timing attributed to BikeBiz, while Avinox targets 2027 launch with fewer details.","Media evidence, not official Avinox/Gobao final specifications. Use as market signal and lead source only."
V004,O,official,text,"Gobao X-System official page","Gobao","https://gobao-ebike.com/x-system-new/","2026-07-04","Gobao X-system / eCVT MGU","Official page states motor and transmission are combined into one unit and automatic continuously variable transmission handles shifting with optional manual control. It lists two model blocks: Urban & Trekking at 120 Nm, 3.85 kg, 25/45 km/h, 1200 W, 400% max gear range, >120 rpm max cadence, Mg housing; MTB & Cargo at 150 Nm, 3.85 kg, 25/45 km/h, 1500 W, 500% max gear range, >120 rpm max cadence, Mg housing. It also lists 52 V 500 Wh and 750 Wh batteries and connectivity/security features.","Page labels are not explicitly X1/X1P in extracted text. Battery fast-charge headline and detailed charge-time table should be reconciled before quoting charging claims."
V005,O,official,text,"Bosch eShift official page","Bosch eBike Systems","https://www.bosch-ebike.com/en/products/eshift","2026-07-04","Bosch eShift partner shifting ecosystem","Official page describes eShift as electric shifting for eBikes with manual and automatic variants. It lists partner systems including Rohloff E-14, Shimano Di2 families, TRP E.A.S.I., Classified Powershift, 3X3 Electric, Gearsensor GS and enviolo AUTOMATiQ. It states eShift can shift automatically depending on variant, supports preferred cadence in some systems, and includes M+ that shifts while freewheeling while the rider keeps manual control when pedaling.","Not an MGU. It validates system-level automatic/electronic shifting as a quasi-direct substitute route."
V006,O,official,text,"Bosch Performance Line CX official page","Bosch eBike Systems","https://www.bosch-ebike.com/en/products/performance-line-cx","2026-07-04","Bosch Performance Line CX BDU384Y benchmark","Official technical data lists maximum possible torque 120 Nm, maximum power 750 W, 600% max support, about 2.8 kg, 250 W rated continuous output. Footnotes state the BDU384Y is still supplied as standard with 85 Nm torque and 600 W power, and higher values depend on app/OEM/dealer/battery and increase wear/reduce range.","Benchmark only. Not a shifting/MGU product. Default and upgrade values must be separated."
V007,O,official,text,"Shimano AUTO SHIFT technology page","Shimano","https://bike.shimano.com/en-NA/technologies/details/auto-shift.html","2026-07-04","Shimano AUTO SHIFT / Di2 automatic shifting","Official page states AUTO SHIFT combines automatic convenience with manual override; system sensors measure cadence, torque and speed to select gears. It covers e-city/e-trekking and e-MTB uses. Compatibility text states AUTO SHIFT while pedaling works with Di2 and 10/11-speed LINKGLIDE, while coasting works with 12-speed HYPERGLIDE+ or 10/11-speed LINKGLIDE.","Not an integrated motor gearbox. Current component compatibility should still be checked in Shimano product-info/manual pages."
V008,O,official,text,"SRAM Eagle Powertrain official page","SRAM","https://www.sram.com/en/sram/mountain/collections/eagle-powertrain","2026-07-04","SRAM Eagle Powertrain ecosystem","Official page describes Eagle Powertrain as an E-MTB system integrated with Eagle Transmission for shift-under-load quality and Auto Shift. It explains Auto Shift, Pedal Speed personalization, Coast Shift, AXS Bridge Display, AXS Pod controls, SRAM AXS app, 630 Wh and 720 Wh batteries and 250 Wh range extender. It lists Nukeproof, Transition, Propain, Berria and GasGas as bike brands/links.","Not motor-internal shifting. Page does not expose full drive-unit torque/weight in extracted text."
V009,O,official,text,"Enviolo products official page","enviolo","https://enviolo.com/products/","2026-07-04","enviolo Automatic and CVP hubs","Official page describes Enviolo Automatic as a fully automatic transmission for e-bikes with preferred pace/cadence behavior, enclosed low-upkeep design and 310-400% ratio range. Hub section lists Utility hub at 400% ratio range, 300 kg max gross vehicle weight and 120 Nm max torque at 300 kg; Trekking v4 at 380% and 100 Nm at 180 kg; Extreme Gearbox at 380%, 500 kg max gross vehicle weight, 100 Nm at 300 kg and 85 Nm at 500 kg.","Hub/gearbox transmission route, not a mid-drive MGU. Product specs should be cross-checked in support spec guides before final design limits."
V010,O,official,text,"Rohloff E-14 official page","Rohloff","https://www.rohloff.de/en/products/speedhub/e-14","2026-07-04","Rohloff E-14 electronic shifting for SPEEDHUB","Official page states E-14 synchronizes motor and transmission for e-bikes with Bosch, Panasonic FIT and Bafang/Brose systems; it supports button shifting, motor torque reduction during shifts, 3-gear multi-shift, automatic return to start gear, app settings/diagnostics and Bosch Smart System automatic functions. It states SPEEDHUB has 14 real gears and 526% range.","Electronic hub-shift route, not MGU. Some text contains older planned-app wording, so current firmware details need manual cross-check."
