finding_id,source_id,product_or_route,finding_type,finding,calculation_or_scope,confidence
R001,V040,"Shimano CUES 2x11 derailleur","verified_range_calculation","Official Shimano specs support FC-U6000-2 36-22T, CS-LG400-11 11-45T, RD-U6020-11 capacity closure and FD-U6000 front capacity for a 2x11 CUES drivetrain.","min=22/45=0.489; max=36/11=3.273; range=(36/11)/(22/45)=669.4%; required RD capacity=(36-22)+(45-11)=48T","high"
R002,V040,"Shimano MTB 2x12 derailleur","verified_range_calculation","Official Shimano specs support a 2x12 MTB combination using 36-26T front gearing with a 10-45T cassette under the relevant Shimano 2x MTB derailleur capacity envelope.","min=26/45=0.578; max=36/10=3.600; range=(36/10)/(26/45)=623.1%; required RD capacity=(36-26)+(45-10)=45T","high"
R003,V040,"Shimano Trekking 3x9 derailleur","verified_range_calculation","Official Shimano specs support trekking 3x9 configurations including 44-32-22T front gearing, 11-34T cassette, RD-T3000 capacity closure and FD-T3000 front capacity.","min=22/34=0.647; max=44/11=4.000; range=(44/11)/(22/34)=618.2%; required RD capacity=(44-22)+(34-11)=45T","high"
R004,V040,"Shimano Trekking 3x10 derailleur","verified_range_calculation","Official Shimano specs support trekking 3x10 configurations including 48-36-26T front gearing and 11-36T cassette under the relevant trekking derailleur capacity envelope.","min=26/36=0.722; max=48/11=4.364; range=(48/11)/(26/36)=604.2%; required RD capacity=(48-26)+(36-11)=47T","high"
R005,V040,"Shimano MTB 3x10 derailleur","verified_range_calculation","Official Shimano specs support a traditional MTB 3x10 example using 40-30-22T front gearing and 11-36T cassette under the relevant Shimano MTB 3x derailleur capacity envelope.","min=22/36=0.611; max=40/11=3.636; range=(40/11)/(22/36)=595.0%; required RD capacity=(40-22)+(36-11)=43T","high"
R006,V040,"Shimano MTB 1x12 derailleur","verified_cassette_range","Official Shimano specs support 10-51T MTB 12-speed cassette configurations. For a 1x drivetrain, total range is set by cassette spread when the chainring is fixed.","range=51/10=510.0%; absolute min/max ratios require a selected chainring and are not claimed here","high"
R007,V040,"Shimano 105 2x road derailleur","verified_range_calculation","Official Shimano specs support a common 105 2x road configuration using 50-34T front gearing and 11-34T cassette under the relevant Shimano road derailleur capacity envelope.","min=34/34=1.000; max=50/11=4.545; range=(50/11)/(34/34)=454.5%","high"
R008,V040,"Shimano GRX 2x gravel derailleur","verified_range_calculation","Official Shimano specs support a GRX 2x gravel configuration using 48-31T front gearing and 11-34T cassette under the relevant Shimano GRX derailleur capacity envelope.","min=31/34=0.912; max=48/11=4.364; range=(48/11)/(31/34)=478.6%","high"
R009,V041,"SRAM Eagle 1x derailleur cassette","verified_cassette_range","Official SRAM Eagle product page identifies a 10-52T cassette configuration. For a 1x drivetrain, total range is set by cassette spread when the chainring is fixed.","range=52/10=520.0%; absolute min/max ratios require a selected chainring and are not claimed here","high"
R010,V042,"SRAM XPLR 1x gravel cassette","verified_cassette_range","Official SRAM XPLR product page identifies a 10-44T cassette configuration. For a 1x drivetrain, total range is set by cassette spread when the chainring is fixed.","range=44/10=440.0%; absolute min/max ratios require a selected chainring and are not claimed here","high"
R011,V043,"Shimano Alfine SG-S7001-11","official_range","Official Shimano Alfine SG-S7001-11 page identifies the 11-speed internal-gear hub and its 409% total gear range.","Hub-internal range=409%; whole-bike final drive ratios depend on external sprocket/chainring selection","high"
R012,V014,"Pinion P-line gearbox","official_range","Official Pinion P-line page states P1.18 has 18 gears and 636% range, and P1.12 has 12 gears and 600% range.","Use as gearbox-internal range; whole-bike final drive ratios depend on external sprocket/chainring selection","high"
R013,V001,"Pinion E-Drive MGU","official_range","Official Pinion E-Drive MGU page lists E1.9 as 9 gears and 568% range, and E1.12 as 12 gears and 600% range.","Use as MGU internal transmission range; absolute internal min/max ratios are not captured in current project evidence","high"
R014,V011,"Rohloff SPEEDHUB 500/14","official_range","Official Rohloff SPEEDHUB specifications list 14 gears, 13.6% increments and 526% total range; the official internal ratio table spans roughly 0.279 to 1.467.","Hub-internal range=526%; whole-bike final drive ratios depend on external sprocket/chainring selection","high"
R015,V032,"Avinox MG Concept","booth_image_range","Avinox MG Concept Tech Details booth graphic shows infinitely variable gear ratio with a displayed 100%-520% range across 1-13 virtual gears.","Relative displayed range=520%; booth/OCR evidence, not final public datasheet; internal mechanism not confirmed","high"
R016,V004,"Gobao X-system","official_range","Gobao X-system official page lists Urban & Trekking at 400% max gear range and MTB & Cargo at 500% max gear range.","Official page product blocks; direct X1/X1P naming and commercial readiness still require closure","high"
R017,V033,"E2Drives / Owuru Gen 1","official_range","Official E2Drives technology page lists first-generation Propulsive Module claims including 265% ratio range and use on Decathlon LD920E.","Official marketing/technology page; use as Gen 1 city-product claim rather than high-power eMTB/cargo validation","high"
R018,V030,"Owuru high-power route","media_range","Transition Velo reports Owuru Ride as a prototype motor with integrated continuous variation and 500% variation range.","Media first ride/prototype evidence; not an official high-power datasheet","medium"
R019,V009,"enviolo CVP hubs / Automatic","official_range","Official enviolo products page describes Automatic/CVP products in the 310-400% range and lists Utility at 400%, Trekking v4 at 380% and Extreme Gearbox at 380%.","Hub/gearbox route, not motor-internal MGU; product-specific support guides should be checked before engineering limits","high"
